Time,model,File Name,Propagation Delay (s),processing_delay (ms),E2E Delay (s),location,core,model_acc,ram
1716401400,yolov5s,6.jpg,0.185281038,1886.73377,2.093084097,london,half,56.8,500
1716401401,yolov5s,6.jpg,0.200174093,1383.521557,1.622124434,london,half,56.8,500
1716401403,yolov5s,6.jpg,0.186928511,1355.219841,1.567090988,london,half,56.8,500
1716401405,yolov5s,6.jpg,0.185054302,1921.223879,2.142482519,london,half,56.8,500
1716401406,yolov5s,6.jpg,0.25703764,1158.675909,1.440788507,london,half,56.8,500
1716401408,yolov5s,6.jpg,0.184173346,1843.095541,2.058962107,london,half,56.8,500
1716401410,yolov5s,6.jpg,0.170605898,1240.957499,1.436846018,london,half,56.8,500
1716401412,yolov5s,6.jpg,0.176747084,1824.419022,2.027687311,london,half,56.8,500
1716401413,yolov5s,6.jpg,0.211188316,1274.265528,1.514210224,london,half,56.8,500
1716401415,yolov5s,6.jpg,0.18498826,1884.644032,2.095478535,london,half,56.8,500
1716401417,yolov5s,6.jpg,0.095799208,1165.125847,1.291890144,london,half,56.8,500
1716401419,yolov5s,6.jpg,0.110572338,1871.662378,2.00596571,london,half,56.8,500
1716401420,yolov5s,6.jpg,0.215071917,1268.948555,1.516634464,london,half,56.8,500
1716401422,yolov5s,6.jpg,0.15592432,1791.46409,1.980408669,london,half,56.8,500
1716401424,yolov5s,6.jpg,0.249311924,1282.120705,1.569088936,london,half,56.8,500
1716401426,yolov5s,6.jpg,0.176744699,1827.08478,2.027322054,london,half,56.8,500
1716401428,yolov5s,6.jpg,0.184691191,1802.014589,2.012689829,london,half,56.8,500
1716401429,yolov5s,6.jpg,0.194005013,1352.406025,1.582768202,london,half,56.8,500
1716401431,yolov5s,6.jpg,0.101776123,1771.677256,1.900143147,london,half,56.8,500
1716401433,yolov5s,6.jpg,0.25667429,1372.715473,1.65113759,london,half,56.8,500
1716401435,yolov5s,6.jpg,0.198909998,1539.303064,1.761356115,london,half,56.8,500
1716401436,yolov5s,6.jpg,0.250952482,1452.544689,1.750069618,london,half,56.8,500
1716401438,yolov5s,6.jpg,0.201443434,1308.290958,1.531918287,london,half,56.8,500
1716401440,yolov5s,6.jpg,0.152097225,1705.292463,1.887319803,london,half,56.8,500
1716401442,yolov5s,6.jpg,0.124411821,1886.596918,2.037337542,london,half,56.8,500
1716401443,yolov5s,6.jpg,0.144052505,1243.949175,1.415840626,london,half,56.8,500
1716401445,yolov5s,6.jpg,0.4144063,1247.365236,1.682714224,london,half,56.8,500
1716401447,yolov5s,6.jpg,0.182340622,1764.038324,1.981940508,london,half,56.8,500
1716401449,yolov5s,6.jpg,0.296337843,1358.674049,1.678822756,london,half,56.8,500
1716401451,yolov5s,6.jpg,0.142271996,1869.333982,2.042263508,london,half,56.8,500
1716401452,yolov5s,6.jpg,0.26241231,1149.992228,1.443733454,london,half,56.8,500
1716401454,yolov5s,6.jpg,0.228498697,1910.25424,2.167596579,london,half,56.8,500
1716401456,yolov5s,6.jpg,0.257418633,1136.864424,1.42566061,london,half,56.8,500
1716401458,yolov5s,6.jpg,0.122238636,1805.621624,1.953130722,london,half,56.8,500
1716401459,yolov5s,6.jpg,0.165665627,1241.563559,1.432859659,london,half,56.8,500
1716401461,yolov5s,6.jpg,0.182074547,1824.631214,2.03296566,london,half,56.8,500
1716401463,yolov5s,6.jpg,0.190073252,1488.761663,1.713632584,london,half,56.8,500
1716401465,yolov5s,6.jpg,0.203838587,1863.885403,2.096647501,london,half,56.8,500
1716401467,yolov5s,6.jpg,0.222394228,1281.185865,1.535855055,london,half,56.8,500
1716401469,yolov5s,6.jpg,0.152649641,1849.394083,2.028743744,london,half,56.8,500
1716401471,yolov5s,6.jpg,0.28401804,1837.536812,2.150770426,london,half,56.8,500
1716401472,yolov5s,6.jpg,0.260632515,1343.585253,1.627030134,london,half,56.8,500
1716401475,yolov5s,6.jpg,0.427628994,1929.567337,2.388696194,london,half,56.8,500
1716401476,yolov5s,6.jpg,0.172073126,1335.19721,1.53135252,london,half,56.8,500
1716401479,yolov5s,6.jpg,0.183811188,2103.176594,2.318373442,london,half,56.8,500
